No,Station Location,Latitude,Longitude
1,65 Ellen St.,49.89881764,-97.14639427
2,55 Watt St.,49.90421091,-97.10483598
3,337 Des Meurons St.,49.88313723,-97.11154663
4,150 Osborne St.,49.87784825,-97.14384303
5,845 Sargent Ave.,49.89727166,97.17089949
6,603 Redwood Ave.,49.92235113,-97.14529756
7,10 Allan Blye Dr.,49.96217741,-97.17322088
8,640 Kimberly Ave.,49.92098232,-97.08512553
9,864 Marion St.,49.88171784,-97.08381578
10,1354 Border St.,49.91411188,-97.20201292
11,1705 Portage Ave,49.88017138,-97.20604098
12,1780 Taylor Ave.,49.84989035,-97.20209875
13,799 Lilac St.,49.85659228,-97.14712573
14,1057 St. Mary's Road,49.83767686,-97.11197669
15,130 Eaglewood Dr.,49.78057929,-97.19668571
16,1001 McGregor St.,49.94533495,-97.12650165
17,1501 Church Ave.,49.93997699,-97.17957742
18,5000 Roblin Blvd.,49.85775922,-97.28431375
19,320 Whytewold Road,49.880048,-97.254926
20,525 Banting Drive,49.88022,-97.28808
21,1446 Regent Ave. W.,49.89487,-97.046808
22,1567 Waverley St.,49.820316,-97.180296
23,880 Dalhousie Dr.,42.9423,-81.2882
24,1665 Rothesay St.,49.95011182,-97.06791499
25,701 Day St.,49.89869549,-97.00318643
26,1525 Dakota St.,49.81082072,-97.09285559
27,27 Sage Creek Blvd.,49.83437857,-97.04795903
28,524 Osborne St.,49.86589181,-97.13452658
29,726 Furby St.,49.90032407,-97.15718369
30,2490 Portage Ave.,49.87502026,-97.25637436
